PSNR_noise: 20.6461
window sigma    PSNR
     7   7.1     22.4853
     7   7.2     22.4853
     7   7.3     22.4853
     7   7.4     22.4853
     7   7.5     22.4569
     7   7.6     22.4569
     7   7.7     22.4569
     7   7.8     22.4569
     7   7.9     22.4569
     7     8     22.4569
     7   8.1     22.4569
     7   8.2     22.4569
     7   8.3     22.4569
     7   8.4     22.4569
     7   8.5     22.4569
     7   8.6     22.4569
     7   8.7     22.4569
     7   8.8     22.4569
     7   8.9     22.4569
     7     9     22.4569
     7   9.1     22.4569
     7   9.2     22.4569
     7   9.3     22.4504
     7   9.4     22.4504
     7   9.5     22.4504
     7   9.6     22.4504
     7   9.7     22.4504
     7   9.8     22.4504
     7   9.9     22.4504
     7    10     22.4504
